run_id,scenario_id,site,decision_type,variant,workflow,exp1_seed,world_model_file,world_model_sha256,operator_id,operator_assignment_ready,input_status,run_status,output_geometry,output_parameter_table,output_need_disposition,output_constraint_checklist,output_process_log,rhino_export_record,outcome_A_green,outcome_E_equity,outcome_C_comfort,outcome_P_ret,outcome_I_impl,failure_or_exclusion_code
EXP1-SUZ-RR-B-EXISTING,SUZ-RR-B,Suzhou,RR,B,EXISTING,110401,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-RR-B-CONVENTIONAL,SUZ-RR-B,Suzhou,RR,B,CONVENTIONAL,110401,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-RR-B-DIGITAL,SUZ-RR-B,Suzhou,RR,B,DIGITAL,110401,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-RR-B-POLIS,SUZ-RR-B,Suzhou,RR,B,POLIS,110401,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-RR-S-EXISTING,SUZ-RR-S,Suzhou,RR,S,EXISTING,110402,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-RR-S-CONVENTIONAL,SUZ-RR-S,Suzhou,RR,S,CONVENTIONAL,110402,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-RR-S-DIGITAL,SUZ-RR-S,Suzhou,RR,S,DIGITAL,110402,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-RR-S-POLIS,SUZ-RR-S,Suzhou,RR,S,POLIS,110402,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-EA-B-EXISTING,SUZ-EA-B,Suzhou,EA,B,EXISTING,110501,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-EA-B-CONVENTIONAL,SUZ-EA-B,Suzhou,EA,B,CONVENTIONAL,110501,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-EA-B-DIGITAL,SUZ-EA-B,Suzhou,EA,B,DIGITAL,110501,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-EA-B-POLIS,SUZ-EA-B,Suzhou,EA,B,POLIS,110501,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-EA-S-EXISTING,SUZ-EA-S,Suzhou,EA,S,EXISTING,110502,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-EA-S-CONVENTIONAL,SUZ-EA-S,Suzhou,EA,S,CONVENTIONAL,110502,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-EA-S-DIGITAL,SUZ-EA-S,Suzhou,EA,S,DIGITAL,110502,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-EA-S-POLIS,SUZ-EA-S,Suzhou,EA,S,POLIS,110502,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
